name,protocols,tvl,timestamp
Polygon zkEVM,73,2546651.33,2025-08-07T19:30:03.271805
Beam,2,2545307.43,2025-08-07T19:30:03.273477
Taraxa,7,2541228.58,2025-08-07T19:30:03.273454
Kujira,15,2535898.01,2025-08-07T19:30:03.272943
Fluence,1,2500595.51,2025-08-07T19:30:03.273553
Yominet,1,2457494.2,2025-08-07T19:30:03.273833
Namada,1,2442624.35,2025-08-07T19:30:03.273822
Botanix,4,2202059.33,2025-08-07T19:30:03.273461
DFK,2,2185582.08,2025-08-07T19:30:03.273054
GodwokenV1,7,2159102.93,2025-08-07T19:30:03.272819
OKTChain,0,2113044.28,2025-08-07T19:30:03.271847
Inertia,1,2052724.83,2025-08-07T19:30:03.273829
Dogechain,45,1872521.74,2025-08-07T19:30:03.272524
Viction,0,1853345.89,2025-08-07T19:30:03.272495
Oasys,7,1778687.41,2025-08-07T19:30:03.273393
Shibarium,19,1704273.18,2025-08-07T19:30:03.272209
UX,0,1591563.41,2025-08-07T19:30:03.273327
Nuls,5,1543137,2025-08-07T19:30:03.272199
Oraichain,0,1452882.8,2025-08-07T19:30:03.273333
Harmony,62,1406258.55,2025-08-07T19:30:03.271423
HAQQ,6,1384746.01,2025-08-07T19:30:03.271790
VeChain,6,1377063.63,2025-08-07T19:30:03.272745
EDU Chain,8,1350805.38,2025-08-07T19:30:03.273268
KCC,0,1224586.9,2025-08-07T19:30:03.271996
Supra,5,1177142.16,2025-08-07T19:30:03.273531
Plume (Deprecated),0,1169419.78,2025-08-07T19:30:03.273408
Equilibrium,1,1134428.7,2025-08-07T19:30:03.272864
Terra Classic,0,1128137.36,2025-08-07T19:30:03.272110
AB,0,1127186.52,2025-08-07T19:30:03.273535
Zilliqa,10,1122393.58,2025-08-07T19:30:03.272127
QL1,1,1104112.44,2025-08-07T19:30:03.273725
Rangers,2,1085002.89,2025-08-07T19:30:03.273355
Theta,6,1047160.58,2025-08-07T19:30:03.272854
Songbird,9,1015194.55,2025-08-07T19:30:03.272092
Superseed,5,946424.51,2025-08-07T19:30:03.273447
SX Rollup,1,914762.66,2025-08-07T19:30:03.273087
Wax,14,897728.82,2025-08-07T19:30:03.272338
Kadena,7,893239.01,2025-08-07T19:30:03.272922
Carbon,4,873623.5,2025-08-07T19:30:03.273186
Nolus,1,871348.28,2025-08-07T19:30:03.273488
Titan,2,868224.59,2025-08-07T19:30:03.273843
Arbitrum Nova,12,827526.18,2025-08-07T19:30:03.271858
Prom,2,827433.34,2025-08-07T19:30:03.273623
Eventum,1,813094.4,2025-08-07T19:30:03.273862
Archway,8,803380.42,2025-08-07T19:30:03.272244
smartBCH,24,801281.91,2025-08-07T19:30:03.272550
Interlay,5,760846.48,2025-08-07T19:30:03.273208
Unit Zero,0,758703.46,2025-08-07T19:30:03.272420
Elastos,3,755941.23,2025-08-07T19:30:03.272193
Nibiru,13,744981.84,2025-08-07T19:30:03.273229
WINR,2,709221.89,2025-08-07T19:30:03.273379
Milkomeda C1,0,702929.07,2025-08-07T19:30:03.272530
Redbelly,2,684818.29,2025-08-07T19:30:03.273239
Odyssey,3,677673.09,2025-08-07T19:30:03.273098
ShimmerEVM,7,648406.77,2025-08-07T19:30:03.273172
BEVM,9,633663.14,2025-08-07T19:30:03.273563
Haven1,1,596700.69,2025-08-07T19:30:03.273807
XPLA,4,593278.52,2025-08-07T19:30:03.273415
Starcoin,3,578410.4,2025-08-07T19:30:03.273189
Fuse,28,573196.25,2025-08-07T19:30:03.271844
NOS,1,564415.91,2025-08-07T19:30:03.273481
Meter,14,515239.64,2025-08-07T19:30:03.272359
EOS EVM,9,504248.72,2025-08-07T19:30:03.273390
Mantra,4,497400.99,2025-08-07T19:30:03.273754
ThunderCore,11,486973.02,2025-08-07T19:30:03.271783
DeFiVerse,1,486004.85,2025-08-07T19:30:03.273602
Velas,15,453061.0,2025-08-07T19:30:03.271879
Coti,2,448879.69,2025-08-07T19:30:03.273397
SatoshiVM,1,446587.3,2025-08-07T19:30:03.273627
Persistence One,0,443204.74,2025-08-07T19:30:03.273375
LightLink,5,425756.08,2025-08-07T19:30:03.273176
EthereumClassic,16,423174.93,2025-08-07T19:30:03.271979
Energi,3,422309.86,2025-08-07T19:30:03.272072
Obyte,7,419504.21,2025-08-07T19:30:03.273072
Bittorrent,17,412290.73,2025-08-07T19:30:03.271836
CSC,5,410194.66,2025-08-07T19:30:03.272839
zkLink Nova,0,404577.99,2025-08-07T19:30:03.273043
CosmosHub,0,404116.34,2025-08-07T19:30:03.272213
Electroneum,2,395160.43,2025-08-07T19:30:03.273691
Zero Network,2,392599.61,2025-08-07T19:30:03.273764
Canto,27,380090.5,2025-08-07T19:30:03.272180
Everscale,2,347063,2025-08-07T19:30:03.272738
Acala,9,346042.74,2025-08-07T19:30:03.272909
Shido,1,318239.24,2025-08-07T19:30:03.273717
MTT Network,1,302886.58,2025-08-07T19:30:03.273793
SKALE Europa,0,300553.47,2025-08-07T19:30:03.271779
Superposition,2,297923.84,2025-08-07T19:30:03.273278
Ultron,3,280468.95,2025-08-07T19:30:03.273112
Agoric,3,276669.89,2025-08-07T19:30:03.273731
RSS3,1,274691.29,2025-08-07T19:30:03.273620
Degen,9,273273.73,2025-08-07T19:30:03.273520
Elysium,1,269530.87,2025-08-07T19:30:03.273499
Juno,10,254385.35,2025-08-07T19:30:03.272642
Oasis Emerald,0,249253.67,2025-08-07T19:30:03.271886
Xai,3,246968.57,2025-08-07T19:30:03.273281
EnergyWeb,2,234868.42,2025-08-07T19:30:03.272431
Lens,1,233969.13,2025-08-07T19:30:03.273226
Evmos,23,227387.55,2025-08-07T19:30:03.272056
Kintsugi,1,220467.82,2025-08-07T19:30:03.273133
AO,1,212802.42,2025-08-07T19:30:03.273800
Karura,5,200319.85,2025-08-07T19:30:03.272268
DeFiChain EVM,3,200164.75,2025-08-07T19:30:03.273613
Ancient8,3,197210.73,2025-08-07T19:30:03.273161
Neon,12,193654.08,2025-08-07T19:30:03.272228
Qubic,2,183316.68,2025-08-07T19:30:03.273796
DuckChain,4,172526.06,2025-08-07T19:30:03.273285
Civitia,1,166504.03,2025-08-07T19:30:03.273826
Libre,1,165243.1,2025-08-07T19:30:03.273323
Massa,2,162621.82,2025-08-07T19:30:03.273662
Naka,2,155284.54,2025-08-07T19:30:03.273595
MVC,1,152963.15,2025-08-07T19:30:03.273468
RENEC,2,152617.88,2025-08-07T19:30:03.273485
Asset Chain,2,148633.29,2025-08-07T19:30:03.273708
AILayer,7,140160.75,2025-08-07T19:30:03.273648
Saakuru,1,139398.11,2025-08-07T19:30:03.273673
Kroma,8,139305.34,2025-08-07T19:30:03.273123
Matchain,6,138522.42,2025-08-07T19:30:03.273698
Crab,1,138311.5,2025-08-07T19:30:03.273348
FunctionX,4,131350.61,2025-08-07T19:30:03.273219
Boba_Bnb,2,131044.29,2025-08-07T19:30:03.271809
OpenGPU,1,130082.45,2025-08-07T19:30:03.273819
Kardia,8,122228.73,2025-08-07T19:30:03.272503
Chihuahua,4,119875.61,2025-08-07T19:30:03.273433
HeLa,3,118999.15,2025-08-07T19:30:03.273695
Shape,4,117038.09,2025-08-07T19:30:03.273701
Stargaze,3,110294.6,2025-08-07T19:30:03.273320
Zkfair,12,101801.5,2025-08-07T19:30:03.273119
Omax,2,98804.14,2025-08-07T19:30:03.273144
Sanko,3,98719.18,2025-08-07T19:30:03.273288
Heco,51,97572.7,2025-08-07T19:30:03.271772
XRPL EVM,6,95200.99,2025-08-07T19:30:03.273837
Genesys,2,93333.32,2025-08-07T19:30:03.273645
Nahmii,1,92681.36,2025-08-07T19:30:03.272847
Dash,1,87537.1,2025-08-07T19:30:03.273506
Tombchain,1,78273.94,2025-08-07T19:30:03.273196
Zora,6,76787.48,2025-08-07T19:30:03.273058
Q Protocol,4,75878.19,2025-08-07T19:30:03.272231
Cyber,3,75005.06,2025-08-07T19:30:03.273549
Bitrock,4,74625.48,2025-08-07T19:30:03.273592
Mint,3,73456.23,2025-08-07T19:30:03.273443
Polkadex,1,72043.05,2025-08-07T19:30:03.273652
CrossFi,5,71755.54,2025-08-07T19:30:03.273746
EthereumPoW,19,71274.63,2025-08-07T19:30:03.273215
LUKSO,6,68908.35,2025-08-07T19:30:03.273094
Parex,1,67561.65,2025-08-07T19:30:03.273771
Loop,2,66799.49,2025-08-07T19:30:03.273182
Stratis,2,65869.13,2025-08-07T19:30:03.273778
Godwoken,3,64704.29,2025-08-07T19:30:03.272812
Step,2,56794.46,2025-08-07T19:30:03.272668
Endurance,4,55644.7,2025-08-07T19:30:03.273641
Crescent,1,55579.77,2025-08-07T19:30:03.273200
Aura Network,3,52715.95,2025-08-07T19:30:03.273457
Findora,5,49900.01,2025-08-07T19:30:03.273065
Rari,4,49651.96,2025-08-07T19:30:03.273272
Pego,2,47690.2,2025-08-07T19:30:03.273212
LaChain Network,2,45204.53,2025-08-07T19:30:03.273638
AirDAO,6,44880.88,2025-08-07T19:30:03.273570
Hydra Chain,1,42825.72,2025-08-07T19:30:03.273404
Sora,1,40223.76,2025-08-07T19:30:03.272510
Redstone,1,39708.07,2025-08-07T19:30:03.273768
ALV,2,39011.92,2025-08-07T19:30:03.273303
Bostrom,1,36434.18,2025-08-07T19:30:03.273510
Shiden,7,28887.44,2025-08-07T19:30:03.272428
Soon Network,1,27301.26,2025-08-07T19:30:03.273851
Migaloo,4,26578.56,2025-08-07T19:30:03.273429
Neo X Mainnet,2,25871.1,2025-08-07T19:30:03.273680
DChain,1,25402.46,2025-08-07T19:30:03.273151
Swan,1,20335.1,2025-08-07T19:30:03.273556
inEVM,7,20269.15,2025-08-07T19:30:03.273337
Astar zkEVM,10,19758.46,2025-08-07T19:30:03.273254
Areon Network,1,19582.11,2025-08-07T19:30:03.273585
Hydra,3,19247.79,2025-08-07T19:30:03.273069
MultiVAC,3,19097.44,2025-08-07T19:30:03.273091
Lachain,3,16594.94,2025-08-07T19:30:03.273076
Planq,2,16391.82,2025-08-07T19:30:03.273634
VinuChain,2,16291.21,2025-08-07T19:30:03.273721
Comdex,5,15648.0,2025-08-07T19:30:03.273307
Moonchain,1,14465.05,2025-08-07T19:30:03.273804
Silicon zkEVM,3,13228.38,2025-08-07T19:30:03.273782
XION,2,12453.78,2025-08-07T19:30:03.273847
Penumbra,1,10999.38,2025-08-07T19:30:03.273775
JBC,4,10432.16,2025-08-07T19:30:03.273539
Ham,2,9742.31,2025-08-07T19:30:03.273581
GoChain,2,7599.97,2025-08-07T19:30:03.272439
REI,7,7533.82,2025-08-07T19:30:03.272187
Form Network,3,7455.96,2025-08-07T19:30:03.273789
ETHF,2,7316.23,2025-08-07T19:30:03.273492
Horizen EON,7,6985.53,2025-08-07T19:30:03.272121
Joltify,2,6966.71,2025-08-07T19:30:03.273659
ENULS,4,5906.66,2025-08-07T19:30:03.273400
Darwinia,1,5088.23,2025-08-07T19:30:03.273344
Sifchain,1,4840.54,2025-08-07T19:30:03.272169
REIchain,1,4800.45,2025-08-07T19:30:03.273079
OntologyEVM,4,4744.59,2025-08-07T19:30:03.272032
Manta Atlantic,2,4627.82,2025-08-07T19:30:03.273588
Callisto,1,3949.27,2025-08-07T19:30:03.272823
XCHAIN,0,3401.48,2025-08-07T19:30:03.273687
SX Network,0,1708.04,2025-08-07T19:30:03.273083
Milkomeda A1,3,1145.68,2025-08-07T19:30:03.273061
Concordium,1,581.14,2025-08-07T19:30:03.273426
Palm,2,547.03,2025-08-07T19:30:03.271787
Kopi,1,300.41,2025-08-07T19:30:03.273739
Aeternity,1,176.0,2025-08-07T19:30:03.273669
